episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
2.44598743421845,2.3965094922029997,2.4167921250981164,42.0,3,1,20000200,20000200,False,71116,2501,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-53-45,1776470025,4.206287145614624,22406.774119853973,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,4.206287145614624,0,1,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845]","[69, 22, 35]",0.7427308096814511,4.397192997718925,0.05994388713172419,13.771006123936592,0.0,3912.031,51.124,279.394,715.836,6.849,20000200,20000200,20000200,66.37142857142858,64.51428571428572,0.0,0.2,5e-05,0.4695431813597679,-0.03644565865397453,0.49760058522224426,0.49651095,0.04194134101271629,0.5684814155101776,0.0
2.44598743421845,2.3965094922029997,2.4167921250981164,42.0,0,1,20000400,20000400,False,71116,2502,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-53-50,1776470030,4.795756816864014,22411.569876670837,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,9.002043962478638,0,2,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845]","[69, 22, 35]",0.7427308096814511,4.397192997718925,0.05994388713172419,13.771006123936592,0.0,4246.458,47.098,243.935,819.891,4.553,20000400,20000400,20000400,67.61428571428571,64.41428571428573,0.0,0.30000000000000004,5e-05,0.07426200062036514,-0.02703147940337658,0.09287089854478836,-1.0,0.02807531226426363,0.654697373509407,0.0
2.44598743421845,2.3965094922029997,2.4167921250981164,42.0,0,1,20000600,20000600,False,71116,2503,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-53-55,1776470035,5.203671455383301,22416.77354812622,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,14.205715417861938,0,3,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845]","[69, 22, 35]",0.7427308096814511,4.397192997718925,0.05994388713172419,13.771006123936592,0.0,4465.223,44.791,259.778,769.888,4.27,20000600,20000600,20000600,66.89999999999999,63.471428571428575,0.0,0.45000000000000007,5e-05,0.2063572257757187,-0.02946520783007145,0.22229359298944473,-1.0,0.0300640850327909,0.5598944202065468,0.0
3.0557292730447134,-1.845741721582065,1.6920727853513995,147.6,2,1,20000800,20000800,False,71118,2504,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-00,1776470040,4.672349452972412,22421.445897579193,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,18.87806487083435,0,4,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134]","[69, 22, 35, 501, 111]",0.5911239435161555,4.461235203688693,0.0813971860000912,14.945396437946963,0.0,4450.788,44.936,245.791,813.698,3.751,20000800,20000800,20000800,67.15714285714286,63.22857142857142,0.0,0.675,5e-05,1.1085263639688492,-0.026921926997601986,1.1301498413085938,0.15454367,0.007849403307773173,0.5926865488290787,0.0
3.0557292730447134,-1.845741721582065,1.6920727853513995,147.6,0,1,20001000,20001000,False,71118,2505,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-05,1776470045,4.6194703578948975,22426.065367937088,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,23.497535228729248,0,5,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134]","[69, 22, 35, 501, 111]",0.5911239435161555,4.461235203688693,0.0813971860000912,14.945396437946963,0.0,4439.309,45.052,240.508,831.574,3.442,20001000,20001000,20001000,65.76666666666665,63.23333333333333,0.0,0.675,5e-05,0.5847422741353512,0.07599780522286892,0.5020397454500198,-1.0,0.009932930930517614,0.5978675782680511,0.0
3.0557292730447134,-1.845741721582065,1.6920727853513995,147.6,0,1,20001200,20001200,False,71118,2506,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-10,1776470050,4.8015453815460205,22430.866913318634,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,28.29908061027527,0,6,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134]","[69, 22, 35, 501, 111]",0.5911239435161555,4.461235203688693,0.0813971860000912,14.945396437946963,0.0,4464.066,44.802,234.884,851.486,3.289,20001200,20001200,20001200,65.72857142857143,63.199999999999996,0.0,0.675,5e-05,0.01501090731471777,-0.005165142007172108,0.016189511632546782,-1.0,0.005905980302486569,0.5190007239580154,0.0
3.0557292730447134,-1.845741721582065,1.6920727853513995,147.6,0,1,20001400,20001400,False,71118,2507,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-14,1776470054,4.383438587188721,22435.250351905823,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,32.68251919746399,0,7,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134]","[69, 22, 35, 501, 111]",0.5911239435161555,4.461235203688693,0.0813971860000912,14.945396437946963,0.0,4422.81,45.22,229.928,869.838,3.055,20001400,20001400,20001400,68.08333333333333,63.199999999999996,0.0,0.675,5e-05,0.2376263476908207,0.18530388548970222,0.03948201797902584,-0.76685894,0.019022871274501085,0.6705206483602524,0.0
3.0557292730447134,-1.845741721582065,1.6545689473917793,263.5,1,1,20001600,20001600,False,71119,2508,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-19,1776470059,4.888865947723389,22440.139217853546,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,37.57138514518738,0,8,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134, 1.4670497575936783]","[69, 22, 35, 501, 111, 843]",0.546070873995178,4.457333105331638,0.08231277010490855,15.303468326229662,0.0,4459.876,44.844,221.562,902.681,2.93,20001600,20001600,20001600,65.78571428571429,63.24285714285715,0.0,0.675,5e-05,0.09076077723875642,-0.1752554103732109,0.2543204389512539,-0.58105755,0.017326997709460557,0.5312269404530525,0.0
3.0557292730447134,-2.13757861394354,1.485882516687009,197.44444444444446,3,1,20001800,20001800,False,71122,2509,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-24,1776470064,4.576225996017456,22444.715443849564,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,42.147611141204834,0,9,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134, 1.4670497575936783, 2.5551245556785, -2.13757861394354, 3.0279830240974466]","[69, 22, 35, 501, 111, 843, 36, 33, 127]",0.4767163329093322,4.448283765927863,0.09260779950431902,15.880054710455934,0.0,4449.127,44.953,219.851,909.707,2.814,20001800,20001800,20001800,66.48571428571428,63.271428571428565,0.0,0.675,5e-05,1.589041143655777,-0.035887524485588074,1.6065757870674133,0.01986295,0.02718948374968022,0.5829507559537888,0.0
3.0557292730447134,-2.13757861394354,1.7495344764768312,157.58333333333334,3,1,20002000,20002000,True,71125,2510,f3bae37594c34918b662156f7c834ef7,2026-04-17_19-54-29,1776470069,4.9235453605651855,22449.63898921013,2335702,login-ice-1.pace.gatech.edu,128.61.254.50,47.07115650177002,0,10,a22a4_00000,"[2.4078794488728987, 2.3965094922029997, 2.44598743421845, -1.845741721582065, 3.0557292730447134, 1.4670497575936783, 2.5551245556785, -2.13757861394354, 3.0279830240974466, 2.6652679906757872, 2.433494731265801, 2.5227083455973056]","[69, 22, 35, 501, 111, 843, 36, 33, 127, 58, 29, 27]",0.43955803666895293,4.439611238297062,0.0964613707629356,16.20785053596926,0.0,4474.804,44.695,218.954,913.432,2.721,20002000,20002000,20002000,65.47142857142858,63.199999999999996,0.0,1.0125000000000002,5e-05,0.4161002114415169,0.0008231280371546745,0.40173303335905075,-0.21950391,0.013376834918744862,0.5383072197437286,0.0
