episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,4,2000,2000,2000,2000,2000,2000,2000,2000,False,0,1,e755a_00000,886dc834720f46728c272504ac50e71d,2026-04-17_12-32-10,1776443530,5.040866136550903,5.040866136550903,93974,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,5.040866136550903,0,1,21.648070812225342,2000,2000,2000,2000,nan,nan,nan,nan,0,[],[],5038.955,0.29,6892857.847,301.045,6643.521,1.211,2000,2000,2000,2000,60.275,83.875,[],[],512.0,0.0,0.20000000000000007,4.999999999999999e-05,0.08798270622889201,0.08494891424973806,0.001937537761599136,0.011584305763244629,0.005481279560885736,6.586212714513143,0.0
1.1591040402159971,-0.5910912012115946,0.41945635494304834,881.25,4,4,4000,4000,4000,4000,2000,2000,4000,4000,False,4,2,e755a_00000,886dc834720f46728c272504ac50e71d,2026-04-17_12-32-14,1776443534,4.767112970352173,9.807979106903076,93974,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,9.807979106903076,0,2,21.648070812225342,4000,4000,4000,4000,1.1591040402159971,-0.5910912012115946,0.41945635494304834,881.25,4,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971]","[999, 999, 999, 528]",4901.605,1.274,1570312.243,245.2,8156.617,1.308,4000,4000,4000,4000,53.23333333333333,83.63333333333334,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971]","[999, 999, 999, 528]",512.0,0.0,0.20000000000000007,4.999999999999999e-05,-0.05736041565736135,-0.07317792177200318,0.01532739286388581,-0.006095012029012044,0.0024506155741340556,6.582783397038778,0.0
1.1591040402159971,-0.5910912012115946,0.41945635494304834,881.25,0,4,6000,6000,6000,6000,2000,2000,6000,6000,False,4,3,e755a_00000,886dc834720f46728c272504ac50e71d,2026-04-17_12-32-19,1776443539,4.8929150104522705,14.700894117355347,93974,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,14.700894117355347,0,3,21.648070812225342,6000,6000,6000,6000,1.1591040402159971,-0.5910912012115946,0.41945635494304834,881.25,0,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971]","[999, 999, 999, 528]",4898.1,1.855,1077903.971,229.858,8701.021,1.361,6000,6000,6000,6000,54.08571428571429,83.9,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971]","[999, 999, 999, 528]",512.0,0.0,0.10000000000000003,4.999999999999999e-05,0.11450785597165426,0.11314565638701121,0.0009702480131333383,-0.22578847010930378,0.003919684799353732,6.580962371826172,0.0
1.1591040402159971,-0.5910912012115946,0.3998849389192572,940.625,4,4,8000,8000,8000,8000,2000,2000,8000,8000,False,8,4,e755a_00000,886dc834720f46728c272504ac50e71d,2026-04-17_12-32-24,1776443544,4.803225040435791,19.504119157791138,93974,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,19.504119157791138,0,4,21.648070812225342,8000,8000,8000,8000,1.1591040402159971,-0.5910912012115946,0.3998849389192572,940.625,4,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971, 1.0568834033292709, 0.277682756085607, -0.13575848423382758, 0.3224464164008139]","[999, 999, 999, 528, 1000, 1000, 1000, 1000]",4873.993,2.09,956784.488,220.455,9072.134,1.248,8000,8000,8000,8000,63.92857142857143,83.58571428571429,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971, 1.0568834033292709, 0.277682756085607, -0.13575848423382758, 0.3224464164008139]","[999, 999, 999, 528, 1000, 1000, 1000, 1000]",512.0,0.0,0.05000000000000002,4.999999999999999e-05,-0.03423894544442495,-0.03919964283704758,0.004774231605309372,-0.08899508118629455,0.003729024318053131,6.569927597045899,0.0
1.1591040402159971,-0.5910912012115946,0.3998849389192572,940.625,0,4,10000,10000,10000,10000,2000,2000,10000,10000,True,8,5,e755a_00000,886dc834720f46728c272504ac50e71d,2026-04-17_12-32-29,1776443549,4.961713075637817,24.465832233428955,93974,ipsec-10-2-65-243.vpn.gatech.edu,127.0.0.1,24.465832233428955,0,5,21.648070812225342,10000,10000,10000,10000,1.1591040402159971,-0.5910912012115946,0.3998849389192572,940.625,0,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971, 1.0568834033292709, 0.277682756085607, -0.13575848423382758, 0.3224464164008139]","[999, 999, 999, 528, 1000, 1000, 1000, 1000]",4891.147,2.216,902427.815,215.134,9296.538,1.214,10000,10000,10000,10000,63.48571428571428,83.75714285714285,"[-0.5910912012115946, 0.5928114863283509, 0.5170010944394401, 1.1591040402159971, 1.0568834033292709, 0.277682756085607, -0.13575848423382758, 0.3224464164008139]","[999, 999, 999, 528, 1000, 1000, 1000, 1000]",512.0,0.0,0.02500000000000001,4.999999999999999e-05,0.3321722835302353,0.3301365370551745,0.001951710696448572,-0.2666122535864512,0.0033613572865064906,6.554102516174316,0.0
